,hashtags,count
0,refugees,301
1,concentrationcamps,128
2,libya,113
3,standwithiraqirefugees,98
4,ice,98
5,iceraids,89
6,migrants,84
7,fakechristian,79
8,delaram,68
9,rohingya,59
10,worldrefugeeday,54
