locations,tweets_counts,population,ratio_per_M
new york,367,8.623,42.56059376087209
turkey,1307,79.81,16.376393935597044
texas,446,28.7,15.540069686411151
california,486,39.56,12.285136501516682
canada,389,37.06,10.496492174851591
united kingdom,458,66.04,6.935190793458509
