[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",bowhunter0812,2271056706,,85
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",Finnegan1Katie,824308990104469504,,741
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",LindaHa40857091,905176116872261632,"Tennessee, USA",12095
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",DannyMerkle,540952536,,20
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",RichardPaquett2,517101679,,632
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",Silence_DoGoude,973698495965253633,"Florida, USA",4923
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",ScribbledPages1,799415594651099136,,1785
[],"RT @HossehEnad: Mike Pence: I’m a man of God. I live by the words of the Bible.

Bible: “Thou shalt love thy neighbour as thyself.”

Mike P…",SalomonCyborg,770976431534841857,,70
[],"RT @MertMum63623752: @GermanyintheEU @MiRo_SPD IRAQI asylum seekers and refugees fled their country,
IRAQI asylum seekers and refugees face…",RamzeWedad,1096746281647697921,,229
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",TexasPa95100003,1141378189102649345,"Houston, TX",2
[],RT @_SJPeace_: These are PEOPLE who have done absolutely nothing wrong...fled from danger seeking safety and a better life. That isn't a cr…,hannahnsimone,1015760047836672003,,473
[],"RT @rwaidakareem: @Refugees @RefugeesChief Let us be aware of the issue of Iraqi refugees in Turkey, because they live a difficult life #St…",balkees51046223,1081605573383282691,Türkiye,202
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",ErengwaM,726236936038440960,,2028
[],"RT @a_leesha1: So far this year, 667 people have died crossing the Mediterranean. Since 2014, the number of those who've died is *over* 18,…",ConorUCCLaw,842375348,Cork/Dingle,4139
[],RT @mywifecameback: There is no delusion more infuriating to me than the suburban boomers who have 28 nervous breakdowns when their dominos…,mcrealname,2193894922,458 Bofa Street,398
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",MaticNikki,1001627436340084738,"Lovettsville, VA",244
[],Never I'm afraid,LMDavens,804485736334577664,"Texas, USA",1837
[],International (MNN) — Helping refugees means providing better education opportunities — https://t.co/ewXNQrPEYt… https://t.co/or0GDbOiZW,WMP_USA,213305140,"New Paris, IN, USA",3629
[],"RT @YahyaMurti: @GermanyintheEU @MiRo_SPD Will you please put a highlight on legal Iraqi refugees in the host countries like Turkey,Lebanon…",RamzeWedad,1096746281647697921,,229
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",shelbydoll1,860337132,"Michigan, USA",4824
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",cftc10,158489156,Florida,8156
[],"RT @UN: What's the difference between a refugee and a migrant? 

Refugees are forced to flee their country escaping conflict, violence or p…",UNODC_ROPAN,943509452602396672,Global,681
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",Jtadam__21,795090422632775681,"Georgetown, TX",494
[],"In CA if you are disabled and indigent you only get $971.72 a month from SSI, title XVI, if you live with a parent… https://t.co/qbAiT9iGmw",twas2,25845457,,138
[],We were very proud to receive our award as a School of Sanctuary today at Birkenhead Town Hall; we remain one of tw… https://t.co/wWkEj3urRa,anselmscollege,252121272,"Birkenhead, UK",1887
[],"RT @yousif_ameera: @Refugees @RefugeesChief Long waiting,
Long oppression,
Long desperation,
All of them destroy productivity.
Iraqi asylum…",balkees51046223,1081605573383282691,Türkiye,202
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",geauxflash,329390928,"Marietta, GA",116
[],RT @mywifecameback: There is no delusion more infuriating to me than the suburban boomers who have 28 nervous breakdowns when their dominos…,DBCooper9788,3373266327,Earth Prime. Year zero,970
[],"RT @Teri_Kanefield: (Thread) Trump's America

💠Trump tells brown-skinned Congresswomen to go back where they came from 
💠The GOP doesn't re…",The_AshB,924278185935626241,"NC, USA",148
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",norvilgirl,3413212065,,8147
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",RecreWriter,873720807100436481,,37
[],"RT @ljsy0qqYysaStBM: @GermanyintheEU @MiRo_SPD Iraqi asylum seekers&amp;refugees' dream is a safe &amp;stable life..
They have talents,ambitions, s…",RamzeWedad,1096746281647697921,,229
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",golightlyholly5,417255049,,36
[],RT @JamesMartinSJ: @shastableus There are. Feel free to volunteer with us at the @KinoBorder. Also feel free to volunteer with us around th…,ineedtheeggs,64923454,Boston,224
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",usa_fury,2225016656,"Houston Texas, USA",2560
[],"RT @OmNoor28774754: @Refugees @RefugeesChief Please, don't let Iraqi refugees down, they are exhausted, they intent to reach their goal to…",balkees51046223,1081605573383282691,Türkiye,202
[],"RT @RashidaTlaib: “ ‘The Squad’ is big,” she said. “If you share the values and believe in working for a more equitable and just world, you…",Plantflowes,382370203,,16930
[],"RT @CB618444: ..and they say ""let them in, they're refugees, they're seeking asylum, they need our help, have compassion, they're human bei…",Aramaithea,60629480,"New York, NY",30237
[],"RT @Sa1980her: @UNHCR_Nederland Iraqi asylum seekers&amp;refugees fled Iraq before many years because of death threat,BUT,they stuck in the hos…",AlhaddadAhsan,1070342747465359362,,236
[],"RT @jano88703942: @GermanyintheEU @MiRo_SPD Together,
Share the responsibility to solve the issue of legal refugees who forced to flee thei…",RamzeWedad,1096746281647697921,,229
[],RT @_SJPeace_: These are PEOPLE who have done absolutely nothing wrong...fled from danger seeking safety and a better life. That isn't a cr…,91sdionysus,1015967701200711680,鋼の錬金術師 ,489
[],RT @shaunking: Willem Van Spronsen just became the first martyr attempting to liberate imprisoned refugees from a for-profit detention cent…,RashidNix,343688529,"London, England",2300
[],"RT @MertMum63623752: @Refugees @RefugeesChief When will the fate of Iraqi asylum seekers&amp; refugees chanege to the best?
They waited enough.…",balkees51046223,1081605573383282691,Türkiye,202
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",reparm,30070112,,416
[],RT @BaconTribe: Amazon’s Shakopee warehouse relies on the labor of largely Black Muslim immigrants and refugees while it continues partneri…,MathematicsStan,2470163916,They/Them/Theirs,315
[],"RT @Thamer91137371: @UNHCR_Nederland IRAQI asylum seekers and refugees fled their country,
IRAQI asylum seekers and refugees faced death th…",AlhaddadAhsan,1070342747465359362,,236
[],RT @Angry_Voice: @theresa_may Sit down. You spent years at the Home Office fighting to deport gay and lesbian refugees to vile homophobic r…,TheBluntDagger,178406363,"England, United Kingdom",213
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",jameylandry,330071369,,35
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",FSeabourn,1109810009406226433,,2170
[],RT @AlraheemHatem: @UNHCR_Nederland Will you show solidarity by ending the harsh suffering of Iraqi asylum seekers&amp; refugees in the host co…,AlhaddadAhsan,1070342747465359362,,236
[],Squad goals,Double_Eff_Beff,277123948,,126
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",ThisJustIn76,1110014022756102147,"Arizona, USA",604
[],"RT @hami_iqbal: @GermanyintheEU @MiRo_SPD IRAQI asylum seekers and refugees fled their country,
IRAQI asylum seekers and refugees faced dea…",RamzeWedad,1096746281647697921,,229
[],RT @GjunqiIF8QS64xk: @Refugees @RefugeesChief When the world work together to rescue Iraqi asylum seekers&amp;refugees from their long sufferin…,balkees51046223,1081605573383282691,Türkiye,202
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",crowbahr,190762684,Arizona Desert,5380
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",hawaiigirlH50,290881781,The United States of America,253
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",hillaryozor,3120079803,Bahamas,285
[],"RT @Teri_Kanefield: (Thread) Trump's America

💠Trump tells brown-skinned Congresswomen to go back where they came from 
💠The GOP doesn't re…",epdesertrose,375447767,"Colorado, USA",435
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",vstolyaryk,1016367299882778626,"New Jersey, USA",86
[],"@charliekirk11 Did you know refugees only receive that benefit for the first 8 months, to help them on their feet C… https://t.co/LAqSYEnbhT",Wardmaryb,1659152678,"East Greenwich, RI",531
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",justwondering_2,100641848,,3642
[],RT @BaconTribe: Amazon’s Shakopee warehouse relies on the labor of largely Black Muslim immigrants and refugees while it continues partneri…,BuiltFyrdeTough,835698287705456641,,130
[],"RT @RashidaTlaib: “ ‘The Squad’ is big,” she said. “If you share the values and believe in working for a more equitable and just world, you…",Havok2525,374389224,,280
[],"@x_BasicallyMe Refugees and immigrants have a constitutional right to seek asylum in America. 
It is not illegal to… https://t.co/BkzUWkdVw2",cocoantea,1073718097029328903,United States,59
[],"RT @seyyedreza: That beautiful shade of Chefchaouen blue, painted all over this little Moroccan town’s gorgeous walls.

Chefchaouen, a town…",GhadeerSS1,432987660,Cambridge,138
[],"RT @BitterWinterMag: The Long Arm of the Dragon: A New Movie by Bitter Winter
The movie on how the CCP operates abroad, directly or through…",Thefreedomunion,915532847280091139,,17
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",BlvuDon,842063885175668739,,113
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",SofiaUndone,823020066941927424,THE GREAT STATE of TEXAS,2810
[],"RT @RashidaTlaib: “ ‘The Squad’ is big,” she said. “If you share the values and believe in working for a more equitable and just world, you…",urban_barnacle,800597853273931776,,265
[],RT @mywifecameback: There is no delusion more infuriating to me than the suburban boomers who have 28 nervous breakdowns when their dominos…,mrburgerboy,488005565,"Rochester, NY",194
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",PKAsedona,232306121,"Middle of nowhere, Arizona",70
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",lfws9231119,1066795329104691200,,3599
[],@grumpyteacher17 @mw_teaching It could have turned out like the Nazi propagandists claimed it did with over a hundr… https://t.co/uVqBIEb8qq,GheeButtersmack,586785034,"Rome, Georgia",1138
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",RobAnderson17,397765992,,683
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",Dondorey1,713685253533995008,"San Antonio, Texas",38654
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",halftwit2,49099228,TX,10528
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",evingardia,4149688335,"California, USA",27
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",SwankCarpent,804041424500977664,"Knoxville, TN",4772
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",ChavisMika,3111106115,"South Carolina, USA",320
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",jcummings8211,2732020948,,601
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",rag_koko,849389142706466816,,209
[],@ToryAndGilianny this admin has banned refugees from countries destroyed by our own actions simply based on their r… https://t.co/pXlLe9VaiD,RogueWorgineer,3065037233,Broken Isles,37
[],"RT @HossehEnad: Mike Pence: I’m a man of God. I live by the words of the Bible.

Bible: “Thou shalt love thy neighbour as thyself.”

Mike P…",Steviedust,274253919,,1587
[],"RT @Genet7ALamel: @GermanyintheEU @MiRo_SPD Iraqi refugees in the host countries've been shouting,screaming,begging,imploring,hoping,&amp;appea…",RamzeWedad,1096746281647697921,,229
[],@realDonaldTrump U.S. law allows refugees to request asylum when they arrive at the U.S. regardless of how they did… https://t.co/cbLLiqgwWG,WmGreen16,1118175482850181120,,4
[],"RT @Teri_Kanefield: (Thread) Trump's America

💠Trump tells brown-skinned Congresswomen to go back where they came from 
💠The GOP doesn't re…",semanadrea,1087533552,,1078
[],The 1st step is to privatize social security for people who work all of their lives.  The money that is taken out o… https://t.co/o2lcPuEjpZ,Kat51481190,1125737829009633281,,589
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",RichardAlengi,814251233364086788,"Colorado, USA",16241
[],"RT @WZPJYbEkUKpKL6F: @UNHCR_Nederland If saving lives who are drowning in the sea is a crime, so, rescue the legal asylum seekers and refug…",AlhaddadAhsan,1070342747465359362,,236
[],RT @cap8787: @charliekirk11 @audreynorris81 Good question! @GOP @DNC ❓❓ Why are AMERICANS who worked their entire lives receiving less bene…,audreynorris81,802926635188109314,,6348
[],"RT @RashidaTlaib: “ ‘The Squad’ is big,” she said. “If you share the values and believe in working for a more equitable and just world, you…",NotAShallowGay,1147638710344781824,"North Carolina, USA",11
[],RT @kshaheen: Remember that Syrians aren't trying to be jerks to you or steal your jobs when they try to stay in your host country a little…,cmqkate,2902097657,Somewhere,544
[],RT @mywifecameback: There is no delusion more infuriating to me than the suburban boomers who have 28 nervous breakdowns when their dominos…,Mayb94247644,1088554710133440512,,7
['StandWithlraqiRefugees'],RT @mohammmed695: @GermanyintheEU @MiRo_SPD #StandWithlraqiRefugees              We are Iraqi refugees in Turkey since 2015. We have lost y…,RamzeWedad,1096746281647697921,,229
[],RT @shaunking: Willem Van Spronsen just became the first martyr attempting to liberate imprisoned refugees from a for-profit detention cent…,twentydollarb,705509772867538945,United States,518
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",MrMisundrstood,27234183,dawson springs kentucky,271
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",mjmontano1,4212088419,"Tucson, AZ",2
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",Rock_NGranny,1109366575956660224,,283
[],Squad!,ronnishaq,23661161,"Virginia, USA",81
[],"RT @BenjaminHett: Timely words for today from the extraordinary British politician Eleanor Rathbone, from a 1939 article about her frustrat…",bondmg,1616690084,,29
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",Rightinaleftsta,2932733594,,161
[],"RT @kokasamea: @GermanyintheEU @MiRo_SPD Sir,
Iraqi asylum seekers and refugees ask you to rescue them from the long waiting of resettlemen…",RamzeWedad,1096746281647697921,,229
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",noah_smothers,3494557452,,1187
[],"RT @Teri_Kanefield: (Thread) Trump's America

💠Trump tells brown-skinned Congresswomen to go back where they came from 
💠The GOP doesn't re…",DjDedan,62097967,,1086
[],"RT @RashidaTlaib: “ ‘The Squad’ is big,” she said. “If you share the values and believe in working for a more equitable and just world, you…",trela_robert,1034507074040995840,Hell,15
"['women', 'children', 'refugees', 'impoverished']",Building Bridges supports programs for #women and #children! We stand with #refugees and the #impoverished. Our pro… https://t.co/6w2h6K5tJX,bridge_eastwest,1028620233207160834,,1
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",KlMartin56,3997189576,,2498
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",SuzanApaydin,1005083815969214464,,527
[],RT @ShinySm53155291: @UNHCR_Nederland Did you know?How many Iraqi refugee children's dreams were died during the long waiting of resettleme…,AlhaddadAhsan,1070342747465359362,,236
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",treskadeka,2260671804,United States,400
[],@mywifecameback American suburbia exists because white people could not become race refugees fast enough lol,andrewrstine,50790536,"San Diego, CA",510
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",JimDuncanson1,2415721224,,47
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",Chermath54,756516731988824064,Michigan,177
[],"RT @Aseel95958101: @UNHCR_Nederland A large number of Iraqi students,journalists,teachers,artists,merchants,doctors,engineers,employees&amp;pro…",AlhaddadAhsan,1070342747465359362,,236
[],RT @Mustafa777713: @GermanyintheEU @MiRo_SPD I think there're legal refugees called(Iraqi Refugees&amp;asylum seekers in Turkey)who have waited…,RamzeWedad,1096746281647697921,,229
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",Mosie171,1047483706120839168,,9
[],U.S. Implementing 'Third Country' Rule On Central American Migrants Seeking Asylum https://t.co/pyRnSu4XiI,jaysonallenhh,2717370404,"Albuquerque, NM",48
[],"RT @RashidaTlaib: “ ‘The Squad’ is big,” she said. “If you share the values and believe in working for a more equitable and just world, you…",Romell219,19728516,,275
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",kpgroves,36429394,Texas,3633
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",TruckSalesKipp,2871402267,"Wyckoff, NJ",145
[],"RT @RashidaTlaib: “ ‘The Squad’ is big,” she said. “If you share the values and believe in working for a more equitable and just world, you…",sallyray5,46430064,"Texas, USA",1278
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",q1243505,986395468077858816,"Maryland, USA",844
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",GbaBobby,931276901842239490,In God’s country,760
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",NataliesNotions,320214648,,376
[],@PatriotFunds @latimes Asylum seekers* refugees are a different status and have different laws than asylum.,Meljanx,287017928,"Southern California, USA ",1091
[],"Choke the illegals first.
Then flip those numbers.
Re-calibrate as time goes.
Require welfare recipients to work, o… https://t.co/TLImOvlODR",tom_tsetung,4079572813,,5744
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",gbmorris56,2333124184,,56
[],RT @GjunqiIF8QS64xk: @GermanyintheEU @MiRo_SPD When the world work together to rescue Iraqi asylum seekers&amp;refugees from their long sufferi…,RamzeWedad,1096746281647697921,,229
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",NoTime457,1147205986266075136,,7
[],"RT @RashidaTlaib: “ ‘The Squad’ is big,” she said. “If you share the values and believe in working for a more equitable and just world, you…",bsadmike,833195424509001729,"Arlington, TX",49
[],"RT @jano88703942: @UNHCR_Nederland Will you share the stories of Iraqi asylum seekers&amp;refugees who fled Iraq because of death threat,can't…",AlhaddadAhsan,1070342747465359362,,236
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",MerleSmithJr,358962116,"Honolulu, HI",25599
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",doc_espy,793428108770742273,,220
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",oldmanindenver,529871490,"Colorado, USA",1861
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",MatthewSWagner,295270501,"Orange County, CA",1666
[],"RT @IkramSabri12: @GermanyintheEU @MiRo_SPD Iraqi refugees were forced 2flee &amp; started waiting 4resettlment since 2014 till now.
Is it time…",RamzeWedad,1096746281647697921,,229
[],@LouDobbs @POTUS @realDonaldTrump How old the Boston Marathon bombers when they came as refugees or asylum seekers ? 😐,onomaru1,750453211807510528,,78
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",faston2whlz,702198137633562624,United States,10453
[],"RT @RashidaTlaib: “ ‘The Squad’ is big,” she said. “If you share the values and believe in working for a more equitable and just world, you…",emhager4,807395204856561664,,505
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",RyanOlsen_MAGA,270519221,America ,1242
[],"RT @charliekirk11: Did you know:

The government pays out $2,125/month in refugee benefits to refugees resettled in the United States

Mean…",grandet99_tom,1102470798,,348
[],"RT @aljboori_marwan: @UNHCR_Nederland Please,process Iraqi refugees' cases in Turkey.
Iraqi refugees want a stable life to their families.…",AlhaddadAhsan,1070342747465359362,,236
[],RT @eUXOGTK9yNuRJfd: @GermanyintheEU @MiRo_SPD Let the hope of Iraqi asylum seekers and refugees turns green by helping them to reach the r…,RamzeWedad,1096746281647697921,,229
